gongli,xingqi,year,month,day,nianzhu,shuxiang,yuezhu,rizhu,nianming
1970/1/1,星期四,1969,冬月,廿四,己酉,鸡,丙子,辛巳,大驿土
1970/1/2,星期五,1969,冬月,廿五,己酉,鸡,丙子,壬午,大驿土
1970/1/3,星期六,1969,冬月,廿六,己酉,鸡,丙子,癸未,大驿土
1970/1/4,星期日,1969,冬月,廿七,己酉,鸡,丙子,甲申,大驿土
1970/1/5,星期一,1969,冬月,廿八,己酉,鸡,丙子,乙酉,大驿土
1970/1/6,星期二,1969,冬月,廿九,己酉,鸡,丁丑,丙戌,大驿土
1970/1/7,星期三,1969,冬月,三十,己酉,鸡,丁丑,丁亥,大驿土
1970/1/8,星期四,1969,腊月,初一,己酉,鸡,丁丑,戊子,大驿土
1970/1/9,星期五,1969,腊月,初二,己酉,鸡,丁丑,己丑,大驿土
1970/1/10,星期六,1969,腊月,初三,己酉,鸡,丁丑,庚寅,大驿土
1970/1/11,星期日,1969,腊月,初四,己酉,鸡,丁丑,辛卯,大驿土
1970/1/12,星期一,1969,腊月,初五,己酉,鸡,丁丑,壬辰,大驿土
1970/1/13,星期二,1969,腊月,初六,己酉,鸡,丁丑,癸巳,大驿土
1970/1/14,星期三,1969,腊月,初七,己酉,鸡,丁丑,甲午,大驿土
1970/1/15,星期四,1969,腊月,初八,己酉,鸡,丁丑,乙未,大驿土
1970/1/16,星期五,1969,腊月,初九,己酉,鸡,丁丑,丙申,大驿土
1970/1/17,星期六,1969,腊月,初十 ,己酉,鸡,丁丑,丁酉,大驿土
1970/1/18,星期日,1969,腊月,十一,己酉,鸡,丁丑,戊戌,大驿土
1970/1/19,星期一,1969,腊月,十二,己酉,鸡,丁丑,己亥,大驿土
1970/1/20,星期二,1969,腊月,十三,己酉,鸡,丁丑,庚子,大驿土
1970/1/21,星期三,1969,腊月,十四,己酉,鸡,丁丑,辛丑,大驿土
1970/1/22,星期四,1969,腊月,十五,己酉,鸡,丁丑,壬寅,大驿土
1970/1/23,星期五,1969,腊月,十六,己酉,鸡,丁丑,癸卯,大驿土
1970/1/24,星期六,1969,腊月,十七,己酉,鸡,丁丑,甲辰,大驿土
1970/1/25,星期日,1969,腊月,十八,己酉,鸡,丁丑,乙巳,大驿土
1970/1/26,星期一,1969,腊月,十九,己酉,鸡,丁丑,丙午,大驿土
1970/1/27,星期二,1969,腊月,二十,己酉,鸡,丁丑,丁未,大驿土
1970/1/28,星期三,1969,腊月,廿一,己酉,鸡,丁丑,戊申,大驿土
1970/1/29,星期四,1969,腊月,廿二,己酉,鸡,丁丑,己酉,大驿土
1970/1/30,星期五,1969,腊月,廿三,己酉,鸡,丁丑,庚戌,大驿土
1970/1/31,星期六,1969,腊月,廿四,己酉,鸡,丁丑,辛亥,大驿土
1970/2/1,星期日,1969,腊月,廿五,己酉,鸡,丁丑,壬子,大驿土
1970/2/2,星期一,1969,腊月,廿六,己酉,鸡,丁丑,癸丑,大驿土
1970/2/3,星期二,1969,腊月,廿七,己酉,鸡,丁丑,甲寅,大驿土
1970/2/4,星期三,1969,腊月,廿八,己酉,鸡,丙寅,乙卯,大驿土
1970/2/5,星期四,1969,腊月,廿九,己酉,鸡,丙寅,丙辰,大驿土
1970/2/6,星期五,1970,正月,初一,庚戌,狗,戊寅,丁巳,钗钏金
1970/2/7,星期六,1970,正月,初二,庚戌,狗,戊寅,戊午,钗钏金
1970/2/8,星期日,1970,正月,初三,庚戌,狗,戊寅,己未,钗钏金
1970/2/9,星期一,1970,正月,初四,庚戌,狗,戊寅,庚申,钗钏金
1970/2/10,星期二,1970,正月,初五,庚戌,狗,戊寅,辛酉,钗钏金
1970/2/11,星期三,1970,正月,初六,庚戌,狗,戊寅,壬戌,钗钏金
1970/2/12,星期四,1970,正月,初七,庚戌,狗,戊寅,癸亥,钗钏金
1970/2/13,星期五,1970,正月,初八,庚戌,狗,戊寅,甲子,钗钏金
1970/2/14,星期六,1970,正月,初九,庚戌,狗,戊寅,乙丑,钗钏金
1970/2/15,星期日,1970,正月,初十 ,庚戌,狗,戊寅,丙寅,钗钏金
1970/2/16,星期一,1970,正月,十一,庚戌,狗,戊寅,丁卯,钗钏金
1970/2/17,星期二,1970,正月,十二,庚戌,狗,戊寅,戊辰,钗钏金
1970/2/18,星期三,1970,正月,十三,庚戌,狗,戊寅,己巳,钗钏金
1970/2/19,星期四,1970,正月,十四,庚戌,狗,戊寅,庚午,钗钏金
1970/2/20,星期五,1970,正月,十五,庚戌,狗,戊寅,辛未,钗钏金
1970/2/21,星期六,1970,正月,十六,庚戌,狗,戊寅,壬申,钗钏金
1970/2/22,星期日,1970,正月,十七,庚戌,狗,戊寅,癸酉,钗钏金
1970/2/23,星期一,1970,正月,十八,庚戌,狗,戊寅,甲戌,钗钏金
1970/2/24,星期二,1970,正月,十九,庚戌,狗,戊寅,乙亥,钗钏金
1970/2/25,星期三,1970,正月,二十,庚戌,狗,戊寅,丙子,钗钏金
1970/2/26,星期四,1970,正月,廿一,庚戌,狗,戊寅,丁丑,钗钏金
1970/2/27,星期五,1970,正月,廿二,庚戌,狗,戊寅,戊寅,钗钏金
1970/2/28,星期六,1970,正月,廿三,庚戌,狗,戊寅,己卯,钗钏金
1970/3/1,星期日,1970,正月,廿四,庚戌,狗,戊寅,庚辰,钗钏金
1970/3/2,星期一,1970,正月,廿五,庚戌,狗,戊寅,辛巳,钗钏金
1970/3/3,星期二,1970,正月,廿六,庚戌,狗,戊寅,壬午,钗钏金
1970/3/4,星期三,1970,正月,廿七,庚戌,狗,戊寅,癸未,钗钏金
1970/3/5,星期四,1970,正月,廿八,庚戌,狗,戊寅,甲申,钗钏金
1970/3/6,星期五,1970,正月,廿九,庚戌,狗,己卯,乙酉,钗钏金
1970/3/7,星期六,1970,正月,三十,庚戌,狗,己卯,丙戌,钗钏金
1970/3/8,星期日,1970,二月,初一,庚戌,狗,己卯,丁亥,钗钏金
1970/3/9,星期一,1970,二月,初二,庚戌,狗,己卯,戊子,钗钏金
1970/3/10,星期二,1970,二月,初三,庚戌,狗,己卯,己丑,钗钏金
1970/3/11,星期三,1970,二月,初四,庚戌,狗,己卯,庚寅,钗钏金
1970/3/12,星期四,1970,二月,初五,庚戌,狗,己卯,辛卯,钗钏金
1970/3/13,星期五,1970,二月,初六,庚戌,狗,己卯,壬辰,钗钏金
1970/3/14,星期六,1970,二月,初七,庚戌,狗,己卯,癸巳,钗钏金
1970/3/15,星期日,1970,二月,初八,庚戌,狗,己卯,甲午,钗钏金
1970/3/16,星期一,1970,二月,初九,庚戌,狗,己卯,乙未,钗钏金
1970/3/17,星期二,1970,二月,初十 ,庚戌,狗,己卯,丙申,钗钏金
1970/3/18,星期三,1970,二月,十一,庚戌,狗,己卯,丁酉,钗钏金
1970/3/19,星期四,1970,二月,十二,庚戌,狗,己卯,戊戌,钗钏金
1970/3/20,星期五,1970,二月,十三,庚戌,狗,己卯,己亥,钗钏金
1970/3/21,星期六,1970,二月,十四,庚戌,狗,己卯,庚子,钗钏金
1970/3/22,星期日,1970,二月,十五,庚戌,狗,己卯,辛丑,钗钏金
1970/3/23,星期一,1970,二月,十六,庚戌,狗,己卯,壬寅,钗钏金
1970/3/24,星期二,1970,二月,十七,庚戌,狗,己卯,癸卯,钗钏金
